R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51
0.02858699,-0.00799,0.00613497,0.00961538,0.052374,0.046831232,0.00926867,0.013318,0.03514804,0.02225842,0.05682508,0.03806228,-0.014151611,0.04283061,0.046849,-0.0606651,-0.02638,0.01337558,0.081347,0.05085177,0.02971396,0.07529762,0.00807735,0.01707317,0.030187,-0.0283298,0.01004302,0.03053435,0.02776903,0.03138565,0.021756,0.01625971,-0.0028194,-0.0035819,0.09705395,-0.0255983,-0.00106,0.08134715,0.07860262,0.04545455,0.03015075,0.02406417,0.00808133,0.02427714,0.00073171,0.021739,0.024413544,0.02702703,0.0472973,-0.01232,-0.0108282
0.00935239,-0.00892,-0.0104167,-0.047619,-0.04698,-0.016556568,0.01671955,0.011608,-0.0049825,-0.0327553,0.01377727,0.02222222,0.03148476,-0.0157412,-0.00571,-0.0116231,0.016424,-0.0080577,0.04001,-0.0052424,-0.0222226,0.03487407,-0.0044919,0.00191847,0.00315,0.00798182,-0.0099432,0.02962963,-0.0168037,-0.0062218,-0.01934,0.03139846,0.0014881,-0.0065359,-0.0076726,-0.0331126,-0.00475,0.04000958,0.0242915,0.03304348,-0.0126016,-0.0015086,-0.0300491,0.01051931,-0.0251523,0.013609,0.011708631,0.00877193,0.03225806,-0.01232,-0.0071006
-0.0262238,0.001684,0.01797176,-0.075,-0.04685,0.021596803,0.00204807,0.026878,-0.0022255,0.02768217,-0.011325,-0.0103261,0.038688129,0.00215095,0.028437,-0.0212224,-0.01904,0.00772915,0.023267,-0.0180801,0.00173822,-0.0371757,0.00109756,0.00287219,-0.02854,0.02034644,-0.020417,-0.028777,0.01015584,0.00902576,-0.01594,-0.0036002,0.00579495,0.00427632,-0.0231959,-0.0743446,0.011753,0.02326653,0.01185771,0.09427609,-0.0119391,-0.0213842,0.00069319,-0.0011859,0.00980049,-0.02996,0.001126587,-0.0434783,0.015625,-0.01232,0.00148987
0.01436266,0.005101,-0.006053,0.03243243,-0.04762,-0.005826051,0.00188667,-0.00304,0.02490706,-0.0475556,-0.0181367,0.00494234,-0.029297486,0.0013383,0.042824,0.02319926,-0.03281,0.0191897,0.015534,-0.0066881,0.0143854,-0.0169444,0.01352174,-0.0360382,-0.03683,-0.0245217,-0.0117799,0,-0.0023913,0.01244412,0.004049,-0.0089798,0.00576156,-0.0029479,-0.0525306,-0.0008821,-0.00996,0.01553354,0.00585937,-0.0384615,0.01791667,0.00700671,-0.0058081,-0.0003958,0.02031443,0.017918,0.010741688,-0.0818182,0.04307692,-0.01232,0.04016662
-0.0389381,-0.01534,0.01497082,0.04712042,0.052151,-0.013897028,0.00841422,-0.00017,0.00471527,0.0094827,0.03149913,0.01420765,-0.004508857,-0.0222416,-0.00595,-0.030623,0.004645,-0.0338203,-0.02261,-0.0015794,-0.0039362,-0.0271263,-0.0223558,-0.0009903,-0.01342,-0.0049171,-0.0146403,0.05555556,-0.0383009,-0.007289,-0.01048,0.01656748,-0.0027908,-0.0003285,0.02088608,-0.0401197,0.003642,-0.0226114,0.00194175,-0.0636,-0.0102333,-0.0183973,-0.0085218,-0.0023756,-0.0370537,-0.02254,-0.001012146,0.00990099,-0.0560472,-0.01232,-0.0308924
0.03130755,0.017687,-0.009,0.045,0.161983,0.03098735,0.01142671,0.014067,-0.0135379,-0.05864,0.04429783,0.00862069,0.003327633,-0.0113351,0.004476,0.04201228,0.017433,0.01505849,0.000227,0.00857547,0.0339778,0.02265466,0.00208999,0.00892193,0.010204,0.01421354,0.01423938,0.04561404,-0.0061106,-0.0086282,-0.00163,0.0378692,0.02356754,0.00558659,-0.0198388,0.00832865,0.003628,0.00022681,0.03100775,0.03075609,0.0165426,-0.004205,0.00167577,0.00846673,0.01272569,0.018818,0.012462006,0.00980392,0.1,-0.01232,0.0283353
0.01785714,0.004776,-0.0476791,-0.0382775,-0.04705,-0.005599473,-0.0145873,-0.01619,-0.0096981,0.01299521,-0.0575812,0.00747863,0.020774794,0.01737361,0.008972,-0.0604858,-0.05196,0.0056572,-0.0059,0.00709922,-0.0107871,0.01136041,0.00846522,0.00970278,0.016835,-0.0303279,-0.0035842,0.0033557,-0.0046651,-0.0008747,0.008163,-0.012298,-0.0172687,0.00522876,-0.0475648,0.0171278,-0.00385,-0.0058957,0.01541353,-0.045172,0.02522376,0.02316463,0.00992984,0.00052473,0.01767919,0.00671,-0.004303012,0,-0.0224432,-0.01232,-0.0126292
-0.0024561,-0.01128,0.05430464,0.04477612,-0.04707,-0.026416032,-0.012476,-0.00676,0.01829268,-0.0020256,0.02853859,-0.0349947,-0.016245487,0.00784615,-0.05729,-0.0666835,0.037804,-0.0017654,0.010036,-0.0046721,0.00158876,-0.0230272,-0.0145985,0.0094879,-0.03432,-0.0355671,0.0178662,-0.0301003,-0.0039826,-0.0048084,-0.04656,-0.0088496,-0.0004393,-0.01658,-0.0475495,-0.0373157,-0.0062,0.0100365,-0.0318401,-0.1258681,-0.034127,-0.0430399,0.0102597,0.00957126,0.00715176,0.001254,-0.008844221,0.00970874,-0.04737,-0.01232,-0.0159884
-0.0130144,0.002317,-0.0452261,-0.047619,-0.04697,-0.001531003,0.00865081,0.002289,0.00471784,0.00964524,-0.0197393,0.02087912,0.031055046,0.00105582,-0.01842,-0.0631831,-0.00984,0.00623483,-0.01197,-0.0463642,-0.0175568,0.0103478,0,0.0001205,0.014859,0.00913189,-0.0319232,-0.0137931,-0.0262213,-0.0263202,0.023355,-0.0095515,0.00468796,0.0231405,-0.1110026,-0.04254,-0.02176,-0.0119693,0.02676864,0.04270109,0.03451109,0.00579139,-0.0204697,-0.0037662,-0.0017237,-0.01751,-0.01916447,0.00961538,-0.04759,-0.01232,-0.0011817
0.01211689,-0.00705,0.03157895,-0.045,-0.04675,0.013714967,-0.007875,-0.04372,-0.0232978,-0.0176801,-0.0974544,0.01022605,-0.026960893,-0.0080691,-0.04153,-0.1115757,-0.00146,-0.0011618,-0.01486,0.01407599,-0.0067703,0.02361309,0.02111111,-0.0196386,-0.00655,-0.0242473,0.00904299,0.06643357,-0.0597207,-0.0087154,-0.00166,0.010587,-0.0348498,0.00193861,0.02054902,0.02529593,0.002998,-0.0148571,-0.0126629,-0.0266667,-0.0154885,-0.0419602,-0.00135,-0.0177291,0.00249267,-0.00656,0.008167063,-0.0095238,-0.0647021,-0.01232,0.06447797
